Year,Month,TotalIncome,Bills,AfterBills,Savings,MonthlySpend,WeeklySpend,SideSavings
2020,September,1695.00,680.09,1014.91,507.46,405.96,101.50,101.49
2020,October,1493.0,680.09,812.91,406.45,325.16,81.29,81.29
2020,November,1589.0,680.0,909.0,454.5,363.6,90.9,90.9
2020,December,875.0,680.0,195.0,97.5,78.0,19.5,19.5
2021,January,1681.0,680.0,1001.0,500.5,400.4,100.1,100.1
2021,February,2074.0,680.0,1394.0,697.0,557.6,139.4,139.4
2021,March,1840.0,680.0,1160.0,580.0,464.0,116.0,116.0
2021,April,1562.0,680.0,882.0,441.0,352.8,88.2,88.2
2021,May,2216.0,680.0,1536.0,768.0,614.4,153.6,153.6
2021,June,2536.0,680.0,1856.0,928.0,742.4,185.6,185.6
2021,July,2082.0,680.0,1402.0,701.0,560.8,140.2,140.2
2021,August,2372.0,680.0,1692.0,846.0,676.8,169.2,169.2
2021,September,2204.0,680.0,1524.0,762.0,609.6,152.4,152.4
2021,October,1795.0,680.0,1115.0,557.5,446.0,111.5,111.5
2021,November,1854.0,680.0,1174.0,587.0,469.6,117.4,117.4
2021,December,1512.0,680.0,832.0,416.0,332.8,83.2,83.2
2022,January,1792.0,680.0,1112.0,556.0,444.8,111.2,111.2
2022,February,2130.0,680.0,1450.0,725.0,580.0,145.0,145.0
2022,March,1743.0,680.0,1063.0,531.5,425.2,106.3,106.3
2022,April,2004.0,680.0,1324.0,662.0,529.6,132.4,132.4
2022,May,2061.0,680.0,1381.0,690.5,552.4,138.1,138.1
2022,June,571.0,550.0,21.0,10.5,8.4,2.1,2.1
2022,July,2417.0,680.0,1737.0,868.5,694.8,173.7,173.7
2022,August,1962.0,680.0,1282.0,641.0,512.8,128.2,128.2
2022,September,2460.0,680.0,1780.0,890.0,712.0,178.0,178.0
2022,October,2466.0,680.0,1786.0,893.0,714.4,178.6,178.6
